key	family	domain	numericSlotCandidate	totalCount	readCount	writeCount	fileCount	topFiles
EXP:111	EXP	people|body|missingMapping	EXP:111	24	23	1	1	original-game/ERB/イベント関係/NTR関係/BOYFRIEND_LOOKSCHANGE.ERB (24)
H	H	script		24	13	11	6	original-game/ERB/娼館関係/WORK_S_STRIP.ERB (13) | original-game/ERB/イベント関係/EVENT_TURNEND.ERB (4) | original-game/ERB/訪問関係/EUNICE_LABO_DETAIL.ERB (4)
ITEM:4	ITEM	inventory	ITEM:4	24	24	0	4	original-game/ERB/指導関係/COMABLE.ERB (21) | original-game/ERB/ＡＶ撮影関係/撮影シーン関連/SCENE03_FELLATIO.ERB (1) | original-game/ERB/ＡＶ撮影関係/撮影シーン関連/SCENE04_AV_HARDSEX.ERB (1)
JUEL:0	JUEL	body|people	JUEL:0	24	12	12	7	original-game/ERB/能力上昇関係/ABL_AUTO.ERB (5) | original-game/ERB/能力上昇関係/ABLUP31.ERB (5) | original-game/ERB/能力上昇関係/ABLUP0.ERB (3)
JUEL:4	JUEL	body|people	JUEL:4	24	9	15	9	original-game/ERB/イベント関係/EVENT_NEXTDAY.ERB (4) | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (3) | original-game/ERB/システム関係/PLEASE.ERB (3)
LOCALS:1	LOCALS	script		24	16	8	5	original-game/ERB/ZNAME.ERB (9) | original-game/ERB/クリアボーナス関係/CLEARBONUS_BOYFRIEND.ERB (5) | original-game/ERB/システム関係/アルバイト関係/ARBEIT.ERB (5)
PALAMNAME:6	PALAMNAME	catalog	PALAMNAME:6	24	24	0	16	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (4) | original-game/ERB/イベント関係/EVENT_LESPLAY_NEW.ERB (4) | original-game/ERB/能力上昇関係/ABLUP30.ERB (2)
TALENT:74	TALENT	people|body|missingMapping	TALENT:74	24	21	3	11	original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB (7) | original-game/ERB/娼館関係/WORK_S_STRIP.ERB (3) | original-game/ERB/能力上昇関係/ABLUP0.ERB (3)
TALENT:75	TALENT	people|body|missingMapping	TALENT:75	24	21	3	10	original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB (7) | original-game/ERB/娼館関係/WORK_S_STRIP.ERB (3) | original-game/ERB/能力上昇関係/ABLUP2.ERB (3)
TALENT:COUNT:224	TALENT	people|body|missingMapping	TALENT:224	24	24	0	4	original-game/ERB/システム関係/CALC_EXABL.ERB (21) | original-game/ERB/娼館関係/WORK_S_CONCERT.ERB (1) | original-game/ERB/娼館関係/WORK_S_LUNCHSTALL.ERB (1)
TEQUIP:14	TEQUIP	feature-session|interaction|equipment|missingMapping	TEQUIP:14	24	22	2	8	original-game/ERB/指導関係/COMABLE.ERB (8) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (3) | original-game/ERB/システム関係/INFO.ERB (3)
TFLAG:19	TFLAG	feature-session|interaction|missingMapping	TFLAG:19	24	6	18	22	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB (2) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (2) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (1)
TFLAG:408	TFLAG	feature-session|interaction|missingMapping	TFLAG:408	24	19	5	1	original-game/ERB/システム関係/面接/INTERVIEW.ERB (24)
TFLAG:6	TFLAG	feature-session|interaction|missingMapping	TFLAG:6	24	17	7	6	original-game/ERB/システム関係/PASSOUT.ERB (14) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB (2) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (2)
TFLAG:621	TFLAG	feature-session|interaction|missingMapping	TFLAG:621	24	4	20	12	original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (4) | original-game/ERB/指導関係/COMF69.ERB (3) | original-game/ERB/指導関係/COMF123.ERB (2)
UP:9	UP	feature-session	UP:9	24	21	3	4	original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (16) | original-game/ERB/システム関係/PASSOUT.ERB (4) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (3)
BASE:32	BASE	body|people	BASE:32	23	17	6	1	original-game/ERB/システム関係/SYSTEM_IWS.ERB (23)
BASE:8	BASE	body|people	BASE:8	23	8	15	1	original-game/ERB/システム関係/SYSTEM_BIRTHDAY.ERB (23)
CALLNAME:C_NUM	CALLNAME	people|text		23	23	0	2	original-game/ERB/イベント関係/NTR関係/BADBOY_RAPE.ERB (14) | original-game/ERB/イベント関係/NTR関係/NTR_STAFF.ERB (9)
CFLAG:45	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:45	23	12	11	6	original-game/ERB/システム関係/衣服/SHOP_TAILOR.ERB (8) | original-game/ERB/システム関係/衣服/FUNC_CLOTH.ERB (7) | original-game/ERB/指導関係/COMF110.ERB (3)
CFLAG:T:102	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:102	23	17	6	1	original-game/ERB/イベント関係/EVENT_PREGNANCY.ERB (23)
CSTR:15	CSTR	text|people|body|missingMapping	CSTR:15	23	10	13	3	original-game/ERB/システム関係/ビデオ周り/VIDEO_TITLE.ERB (20) | original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB (2) | original-game/ERB/イベント関係/SUCCUBUS_STATUS.ERB (1)
CSTR:6	CSTR	text|people|body|missingMapping	CSTR:6	23	1	22	3	original-game/ERB/システム関係/OTHER_CALC.ERB (21) | original-game/ERB/イベント関係/SUCCUBUS_STATUS.ERB (1) | original-game/ERB/システム関係/PROF.ERB (1)
EXP:2	EXP	people|body|missingMapping	EXP:2	23	18	5	9	original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB (10) | original-game/ERB/能力上昇関係/ABLUP16.ERB (4) | original-game/ERB/能力上昇関係/ABLUP17.ERB (2)
FLAG:36	FLAG	world|missingMapping	FLAG:36	23	20	3	16	original-game/ERB/システム関係/SYSTEM_CONFIG.ERB (4) | original-game/ERB/システム関係/INFO.ERB (3) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (2)
FLAG:41	FLAG	world|missingMapping	FLAG:41	23	16	7	1	original-game/ERB/システム関係/SHOP_YUUKAKU.ERB (23)
P:5	P	script		23	2	21	22	original-game/ERB/ミッション関係/MISSION.ERB (2) | original-game/ERB/ミッション関係/キャラ/MISSION_10_MIKU.ERB (1) | original-game/ERB/ミッション関係/キャラ/MISSION_11_NOEL.ERB (1)
SAVESTR:3	SAVESTR	feature-session	SAVESTR:3	23	5	18	2	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (20) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB (3)
TALENT:17	TALENT	people|body|missingMapping	TALENT:17	23	20	3	18	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (3) | original-game/ERB/イベント関係/EVENT_BEFORETRAIN.ERB (2) | original-game/ERB/指導関係/COMORDER.ERB (2)
TALENT:509	TALENT	people|body|missingMapping	TALENT:509	23	23	0	8	original-game/ERB/娼館関係/WORK_RECEPTION.ERB (7) | original-game/ERB/システム関係/INFO.ERB (6) | original-game/ERB/娼館関係/WORK_RESULT.ERB (3)
TALENT:64	TALENT	people|body|missingMapping	TALENT:64	23	23	0	10	original-game/ERB/指導関係/COMABLE.ERB (11) | original-game/ERB/能力上昇関係/ABLUP32.ERB (3) | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (2)
TALENT:84	TALENT	people|body|missingMapping	TALENT:84	23	16	7	8	original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB (15) | original-game/ERB/能力上昇関係/ABLUP20.ERB (2) | original-game/ERB/イベント関係/SUCCUBUS_STATUS.ERB (1)
TALENT:LOCAL:330	TALENT	people|body|missingMapping	TALENT:330	23	1	22	20	original-game/ERB/ミッション関係/キャラ/MISSION_20_NEWGENERATION.ERB (3) | original-game/ERB/ミッション関係/キャラ/MISSION_18_NICOLE.ERB (2) | original-game/ERB/ミッション関係/MISSION.ERB (1)
TALENT:RESULT:504	TALENT	people|body|missingMapping	TALENT:504	23	23	0	4	original-game/ERB/訪問関係/SAKURA_AZITO_DETAIL.ERB (13) | original-game/ERB/訪問関係/RACHEL_LABO_DETAIL.ERB (5) | original-game/ERB/訪問関係/KANON_ORDER_DETAIL.ERB (3)
TALENTNAME:504	TALENTNAME	catalog	TALENTNAME:504	23	23	0	4	original-game/ERB/訪問関係/SAKURA_AZITO_DETAIL.ERB (13) | original-game/ERB/訪問関係/RACHEL_LABO_DETAIL.ERB (5) | original-game/ERB/訪問関係/KANON_ORDER_DETAIL.ERB (3)
TCVAR:LOCAL:5	TCVAR	feature-session	TCVAR:5	23	15	8	1	original-game/ERB/クリアボーナス関係/CLEARBONUS_BOYFRIEND.ERB (23)
UP:10	UP	feature-session	UP:10	23	15	8	7	original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (12) | original-game/ERB/システム関係/PASSOUT.ERB (5) | original-game/ERB/指導関係/COMF100.ERB (2)
CFLAG:162	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:162	22	13	9	7	original-game/ERB/システム関係/初体験/LOSTVIRGIN_DETAIL.ERB (9) | original-game/ERB/クリアボーナス関係/CLEARBONUS_BOYFRIEND.ERB (8) | original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB (1)
CFLAG:MASTER:758	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:758	22	19	3	2	original-game/ERB/訪問関係/KANON_ORDER_DETAIL.ERB (18) | original-game/ERB/訪問関係/KANON_ORDER.ERB (4)
FLAG:2	FLAG	run	FLAG:2	22	13	9	11	original-game/ERB/システム関係/DELCHARA.erb (4) | original-game/ERB/システム関係/SYSTEM_CHARASORT.ERB (4) | original-game/ERB/システム関係/SYSTEM_NEWGAME.ERB (3)
FLAG:4	FLAG	world|missingMapping	FLAG:4	22	9	13	7	original-game/ERB/システム関係/SHOP_MAIN.ERB (5) | original-game/ERB/システム関係/SYSTEM_DEBUG.ERB (5) | original-game/ERB/イベント関係/ENDING.ERB (4)
FLAG:76	FLAG	world|missingMapping	FLAG:76	22	14	8	2	original-game/ERB/システム関係/SYSTEM_CONFIG.ERB (17) | original-game/ERB/イベント関係/EVENT_TURNEND.ERB (5)
JUEL:8	JUEL	body|people	JUEL:8	22	7	15	7	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (7) | original-game/ERB/能力上昇関係/ABLUP31.ERB (5) | original-game/ERB/能力上昇関係/ABL_AUTO.ERB (3)
PALAMNAME:8	PALAMNAME	catalog	PALAMNAME:8	22	22	0	7	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (7) | original-game/ERB/イベント関係/NTR関係/MOLESTER_DETAIL.ERB (6) | original-game/ERB/イベント関係/EVENT_NEXTDAY.ERB (3)
TALENT:TARGET:413	TALENT	people|body|missingMapping	TALENT:413	22	22	0	2	original-game/ERB/システム関係/未使用/JOBNAME.ERB (21) | original-game/ERB/システム関係/SHOP_MAIN.ERB (1)
TFLAG:620	TFLAG	feature-session|interaction|missingMapping	TFLAG:620	22	7	15	8	original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (8) | original-game/ERB/指導関係/COMF1.ERB (3) | original-game/ERB/指導関係/COMF69.ERB (3)
UP:13	UP	feature-session	UP:13	22	11	11	3	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (9) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (9) | original-game/ERB/システム関係/PASSOUT.ERB (4)
ABL:ASSI:20	ABL	people	ABL:20	21	21	0	5	original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (6) | original-game/ERB/指導関係/COMABLE.ERB (6) | original-game/ERB/指導関係/COMF47.ERB (6)
ABL:COUNT:2	ABL	people	ABL:2	21	21	0	4	original-game/ERB/イベント関係/EVENT_NEXTDAY.ERB (12) | original-game/ERB/イベント関係/BLACKGIRL.ERB (4) | original-game/ERB/イベント関係/NTR関係/MOLESTER_DETAIL.ERB (4)
BASE:LOCAL:9	BASE	body|people	BASE:9	21	17	4	3	original-game/ERB/イベント関係/EVENT_MAEKOJO.ERB (16) | original-game/ERB/システム関係/SYSTEM_BIRTHDAY.ERB (4) | original-game/ERB/システム関係/LYCEE.ERB (1)
CFLAG:618	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:618	21	20	1	1	original-game/ERB/システム関係/OTHER_CALC.ERB (21)
CFLAG:821	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:821	21	12	9	8	original-game/ERB/システム関係/初体験/FIRSTKISS_DETAIL.ERB (12) | original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB (2) | original-game/ERB/娼館関係/WORK_RECEPTION.ERB (2)
CFLAG:833	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:833	21	16	5	3	original-game/ERB/システム関係/初体験/LOSTANALVIRGIN_DETAIL.ERB (16) | original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB (4) | original-game/ERB/娼館関係/WORK_NORMAL.ERB (1)
CFLAG:COUNT:618	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:618	21	20	1	1	original-game/ERB/システム関係/OTHER_CALC.ERB (21)
CSTR:82	CSTR	text|people|body|missingMapping	CSTR:82	21	15	6	4	original-game/ERB/イベント関係/EVENT_SELL_AFTER.ERB (10) | original-game/ERB/システム関係/GENITAL_SLANG.ERB (9) | original-game/ERB/システム関係/INFO.ERB (1)
CSTR:84	CSTR	text|people|body|missingMapping	CSTR:84	21	6	15	1	original-game/ERB/システム関係/GENITAL_SLANG.ERB (21)
CSTR:9	CSTR	text|people|body|missingMapping	CSTR:9	21	18	3	5	original-game/ERB/システム関係/ビデオ周り/VIDEO_TITLE.ERB (8) | original-game/ERB/イベント関係/EVENT_SELL_AFTER.ERB (5) | original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB (3)
CSTR:COUNT:6	CSTR	text|people|body|missingMapping	CSTR:6	21	0	21	1	original-game/ERB/システム関係/OTHER_CALC.ERB (21)
FLAG:40	FLAG	world|missingMapping	FLAG:40	21	19	2	7	original-game/ERB/システム関係/SHOP_YUUKAKU.ERB (5) | original-game/ERB/娼館関係/WORK_S_CONCERT.ERB (5) | original-game/ERB/娼館関係/WORK_S_STRIP.ERB (5)
FLAG:51	FLAG	world|missingMapping	FLAG:51	21	16	5	6	original-game/ERB/娼館関係/WORK_S_CONCERT.ERB (7) | original-game/ERB/娼館関係/WORK_S_SUB.ERB (7) | original-game/ERB/娼館関係/WORK_S_STRIP.ERB (4)
NAME:C	NAME	people|text		21	20	1	5	original-game/ERB/イベント関係/EVENT_PREGNANCY.ERB (11) | original-game/ERB/イベント関係/EVENT_NEXTDAY.ERB (6) | original-game/ERB/訪問関係/SHOP_LABO.ERB (2)
TALENT:515	TALENT	people|body|missingMapping	TALENT:515	21	20	1	8	original-game/ERB/娼館関係/WORK_RECEPTION.ERB (7) | original-game/ERB/システム関係/INFO.ERB (5) | original-game/ERB/システム関係/SHOP_MAIN.ERB (2)
TALENT:COUNT:154	TALENT	people|body|missingMapping	TALENT:154	21	21	0	11	original-game/ERB/イベント関係/EVENT_NEXTDAY.ERB (5) | original-game/ERB/イベント関係/EVENT_PREGNANCY.ERB (3) | original-game/ERB/イベント関係/EVENT_MORNING.ERB (2)
TEQUIP:17	TEQUIP	feature-session|interaction|equipment|missingMapping	TEQUIP:17	21	19	2	8	original-game/ERB/指導関係/COMABLE.ERB (5) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (3) | original-game/ERB/システム関係/INFO.ERB (3)
TFLAG:1	TFLAG	feature-session|interaction|missingMapping	TFLAG:1	21	11	10	7	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB (6) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (4) | original-game/ERB/システム関係/PASSOUT.ERB (3)
U:COUNT	U	script		21	12	9	8	original-game/ERB/娼館関係/WORK_RESULT.ERB (8) | original-game/ERB/システム関係/ORIGINAL.ERB (7) | original-game/ERB/娼館関係/WORK_S_CONCERT.ERB (1)
ABL:ASSI:12	ABL	people	ABL:12	20	20	0	4	original-game/ERB/指導関係/COMABLE.ERB (9) | original-game/ERB/指導関係/COMF62.ERB (5) | original-game/ERB/指導関係/COMF68.ERB (3)
ABL:MASTER:0	ABL	people	ABL:0	20	20	0	4	original-game/ERB/指導関係/COMF62.ERB (5) | original-game/ERB/指導関係/COMF66.ERB (5) | original-game/ERB/指導関係/COMF68.ERB (5)
ABLNAME:50	ABLNAME	catalog	ABLNAME:50	20	20	0	1	original-game/ERB/システム関係/CALC_EXABL.ERB (20)
ABLNAME:51	ABLNAME	catalog	ABLNAME:51	20	20	0	1	original-game/ERB/システム関係/CALC_EXABL.ERB (20)
ABLNAME:52	ABLNAME	catalog	ABLNAME:52	20	20	0	1	original-game/ERB/システム関係/CALC_EXABL.ERB (20)
BASE:PLAYER:4	BASE	body|people	BASE:4	20	10	10	2	original-game/ERB/指導関係/COMF150.ERB (12) | original-game/ERB/指導関係/COMF100.ERB (8)
CFLAG:47	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:47	20	12	8	4	original-game/ERB/システム関係/衣服/FUNC_CLOTH.ERB (11) | original-game/ERB/システム関係/衣服/SHOP_TAILOR.ERB (7) | original-game/ERB/指導関係/COMF110.ERB (1)
CFLAG:620	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:620	20	14	6	6	original-game/ERB/イベント関係/EVENT_SELL_AFTER.ERB (9) | original-game/ERB/システム関係/INFO.ERB (5) | original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB (3)
CFLAG:823	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:823	20	17	3	4	original-game/ERB/システム関係/初体験/FIRSTKISS_DETAIL.ERB (17) | original-game/ERB/イベント関係/EVENT_PARTICULAR_DAY.ERB (1) | original-game/ERB/娼館関係/WORK_NORMAL.ERB (1)
CFLAG:COUNT:602	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:602	20	19	1	3	original-game/ERB/システム関係/衣服/FUNC_HAIRSTYLE.ERB (14) | original-game/ERB/イベント関係/EVENT_WORK_MESSAGE_SP.ERB (5) | original-game/ERB/イベント関係/職業素質系/C_CLUB_GIRLNAME.ERB (1)
CSTR:79	CSTR	text|people|body|missingMapping	CSTR:79	20	13	7	2	original-game/ERB/訪問関係/KANON_ORDER_DETAIL.ERB (19) | original-game/ERB/システム関係/衣服/FUNC_TATTO.ERB (1)
EXP:3	EXP	people|body|missingMapping	EXP:3	20	15	5	5	original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (14) | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (2) | original-game/ERB/能力上昇関係/ABLUP38.ERB (2)
EXP:33	EXP	people|body|missingMapping	EXP:33	20	13	7	7	original-game/ERB/指導関係/COMF135.ERB (11) | original-game/ERB/指導関係/COMF38.ERB (3) | original-game/ERB/能力上昇関係/ABLUP20.ERB (2)
EXP:5	EXP	people|body|missingMapping	EXP:5	20	8	12	10	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (6) | original-game/ERB/能力上昇関係/ABLUP30.ERB (4) | original-game/ERB/指導関係/COMF64.ERB (2)
EXP:74	EXP	people|body|missingMapping	EXP:74	20	20	0	3	original-game/ERB/娼館関係/WORK_RESULT.ERB (16) | original-game/ERB/能力上昇関係/ABLUP15.ERB (2) | original-game/ERB/能力上昇関係/ABLUP37.ERB (2)
FLAG:3	FLAG	world|missingMapping	FLAG:3	20	4	16	9	original-game/ERB/システム関係/SYSTEM_DEBUG.ERB (5) | original-game/ERB/クリアボーナス関係/CLEARBONUS.ERB (3) | original-game/ERB/システム関係/SYSTEM_NEWGAME.ERB (3)
FLAG:301	FLAG	world|missingMapping	FLAG:301	20	12	8	5	original-game/ERB/イベント関係/EVENT_NEXTMONTH.ERB (4) | original-game/ERB/イベント関係/NTR関係/BADBOY_RAPE.ERB (4) | original-game/ERB/イベント関係/NTR関係/MOLESTER.ERB (4)
MAXBASE:COUNT:31	MAXBASE	body|people	MAXBASE:31	20	15	5	7	original-game/ERB/システム関係/LYCEE.ERB (8) | original-game/ERB/イベント関係/職業素質系/SCOUT.ERB (3) | original-game/ERB/イベント関係/職業素質系/IDOL_PRODUCE.ERB (2)
P:10	P	script		20	14	6	7	original-game/ERB/ＡＶ撮影関係/撮影シーン関連/SCENE01_INTERVIEW.ERB (4) | original-game/ERB/ＡＶ撮影関係/撮影シーン関連/SCENE02_MUSTERBATION.ERB (3) | original-game/ERB/ＡＶ撮影関係/撮影シーン関連/SCENE03_FELLATIO.ERB (3)
RELATION:0	RELATION	social	RELATION:0	20	10	10	3	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (10) | original-game/ERB/イベント関係/EVENT_ADDICT.ERB (9) | original-game/ERB/イベント関係/SUCCUBUS_STATUS.ERB (1)
TALENT:16	TALENT	people|body|missingMapping	TALENT:16	20	20	0	14	original-game/ERB/システム関係/INFO.ERB (6) | original-game/ERB/イベント関係/EVENT_BEFORETRAIN.ERB (2) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (1)
TALENT:181	TALENT	people|body|missingMapping	TALENT:181	20	17	3	12	original-game/ERB/娼館関係/WORK_RESULT.ERB (5) | original-game/ERB/娼館関係/WORK_S_VAUCTION.ERB (4) | original-game/ERB/能力上昇関係/ABLUP37.ERB (2)
TALENT:519	TALENT	people|body|missingMapping	TALENT:519	20	20	0	8	original-game/ERB/娼館関係/WORK_RECEPTION.ERB (7) | original-game/ERB/システム関係/INFO.ERB (5) | original-game/ERB/システム関係/PROF.ERB (2)
TALENT:86	TALENT	people|body|missingMapping	TALENT:86	20	19	1	8	original-game/ERB/能力上昇関係/ABLUP10.ERB (7) | original-game/ERB/能力上昇関係/ABLUP16.ERB (6) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (2)
TEQUIP:35	TEQUIP	feature-session|interaction|equipment|missingMapping	TEQUIP:35	20	18	2	7	original-game/ERB/システム関係/PASSOUT.ERB (6) | original-game/ERB/指導関係/COMF_VAGINASEX.ERB (5) | original-game/ERB/指導関係/USERCOM.ERB (4)
TFLAG:32	TFLAG	feature-session|interaction|missingMapping	TFLAG:32	20	15	5	7	original-game/ERB/システム関係/ビデオ周り/SPECIAL_TITLE.ERB (6) | original-game/ERB/システム関係/ビデオ周り/VIDEO_TITLE.ERB (5) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (3)
TFLAG:8	TFLAG	feature-session|interaction|missingMapping	TFLAG:8	20	5	15	12	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (4) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB (3) | original-game/ERB/指導関係/COMF66.ERB (2)
UP:7	UP	feature-session	UP:7	20	13	7	3	original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (13) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (5) | original-game/ERB/システム関係/PASSOUT.ERB (2)
BASE:ASSI:2	BASE	body|people	BASE:2	19	8	11	3	original-game/ERB/指導関係/COMF64.ERB (8) | original-game/ERB/指導関係/COMF66.ERB (8) | original-game/ERB/指導関係/TRAIN_MAIN.ERB (3)
CFLAG:50	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:50	19	10	9	8	original-game/ERB/娼館関係/WORK_NORMAL.ERB (4) | original-game/ERB/娼館関係/WORK_RESULT.ERB (4) | original-game/ERB/娼館関係/WORK_S_STRIP.ERB (3)
CFLAG:COUNT:42	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:42	19	18	1	9	original-game/ERB/イベント関係/EVENT_NEXTDAY.ERB (4) | original-game/ERB/娼館関係/WORK_S_CONCERT.ERB (4) | original-game/ERB/娼館関係/WORK_S_LUNCHSTALL.ERB (4)
CFLAG:COUNT:622	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:622	19	11	8	3	original-game/ERB/イベント関係/NTR関係/COMPA.ERB (11) | original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB (7) | original-game/ERB/イベント関係/NTR関係/BOYFRIEND_LOOKSCHANGE.ERB (1)
CFLAG:LOCAL:831	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:831	19	10	9	1	original-game/ERB/クリアボーナス関係/CLEARBONUS_BOYFRIEND.ERB (19)
EXP:31	EXP	people|body|missingMapping	EXP:31	19	12	7	5	original-game/ERB/指導関係/COMF85.ERB (6) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (5) | original-game/ERB/指導関係/COMF88.ERB (5)
EXP:51	EXP	people|body|missingMapping	EXP:51	19	12	7	4	original-game/ERB/指導関係/COMF43.ERB (6) | original-game/ERB/指導関係/COMF44.ERB (6) | original-game/ERB/指導関係/COMF45.ERB (6)
FLAG:22	FLAG	world|missingMapping	FLAG:22	19	8	11	4	original-game/ERB/指導関係/COMF53.ERB (11) | original-game/ERB/システム関係/ビデオ周り/VIDEO_TITLE.ERB (4) | original-game/ERB/システム関係/ビデオ周り/SELL_VIDEO.ERB (2)
MAXBASE:COUNT:0	MAXBASE	body|people	MAXBASE:0	19	16	3	9	original-game/ERB/イベント関係/EVENT_TURNEND.ERB (7) | original-game/ERB/訪問関係/IKUMI_LABO_CALC.ERB (4) | original-game/ERB/システム関係/LYCEE.ERB (2)
TALENT:183	TALENT	people|body|missingMapping	TALENT:183	19	16	3	6	original-game/ERB/娼館関係/WORK_RESULT.ERB (7) | original-game/ERB/娼館関係/WORK_NORMAL.ERB (6) | original-game/ERB/システム関係/ORIGINAL.ERB (2)
TALENT:204	TALENT	people|body|missingMapping	TALENT:204	19	19	0	6	original-game/ERB/システム関係/INFO.ERB (10) | original-game/ERB/システム関係/衣服/SHOP_TAILOR.ERB (4) | original-game/ERB/システム関係/SHOP_MAIN.ERB (2)
TEQUIP:57	TEQUIP	feature-session|interaction|equipment|missingMapping	TEQUIP:57	19	17	2	8	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (7) | original-game/ERB/指導関係/COMABLE.ERB (4) | original-game/ERB/指導関係/COMF57.ERB (3)
ABL:MASTER:12	ABL	people	ABL:12	18	13	5	5	original-game/ERB/システム関係/SHOP_ITEM.ERB (11) | original-game/ERB/イベント関係/BLACKGIRL.ERB (2) | original-game/ERB/クリアボーナス関係/CLEARBONUS.ERB (2)
ABL:PLAYER:2	ABL	people	ABL:2	18	18	0	3	original-game/ERB/指導関係/COMF24.ERB (8) | original-game/ERB/指導関係/COMF23.ERB (5) | original-game/ERB/指導関係/COMF25.ERB (5)
BASE:(LOCAL:4):20	BASE	body|people	BASE:20	18	15	3	1	original-game/ERB/システム関係/面接/INTERVIEW.ERB (18)
CFLAG:619	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:619	18	13	5	4	original-game/ERB/イベント関係/EVENT_SELL_AFTER.ERB (9) | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (3) | original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB (3)
CFLAG:822	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:822	18	9	9	8	original-game/ERB/システム関係/初体験/FIRSTKISS_DETAIL.ERB (9) | original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB (2) | original-game/ERB/娼館関係/WORK_RECEPTION.ERB (2)
